id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_perkawinan,satuan,tahun
2022-10-18 14:55:36,b'@apologiskatolik @rinlovescookies @liefderein ngomongin legalisasi...baca dulu tuh uu perkawinan...uu perkawinan kan udah di setujui sama semua.. sama umat islam mungkin ngelarang..yo kalo maksa nikah cuma 2 solusinya. ikut islam atau kluar islam..toh gk maksa jga harus hidup jadi islam kalo gak mau ikut atrn islam',0,0,1582384910689796096,garagarawiro
2022-10-18 14:47:14,b'Heboh cerita sebuah keluarga yang disebut melakukan perkawinan sedarah dan menyebabkan kelainan mental dan fisik. Berikut beberapa fakta soal keluarga Whitaker. https://t.co/8y61Jrrh6L',0,0,1582382804570345472,detikHealth
2022-10-18 14:44:02,b'Kuy anak\xc2\xb2 bunda hasil perkawinan sama tik tok merapat ke tkp \xf0\x9f\xa4\xa3',0,0,1582381998064402432,Kenangpng
2022-10-18 14:41:45,"b'today\xe2\x80\x99s recap\xf0\x9f\xa7\xa9\n\xf0\x9f\x97\x9318/10/22\n\n\xe2\x80\x94 td pagi nonton record live class imbuhan kak diana\n\xe2\x80\x94 mapel kepegawaian belajar syarat dan larangan perkawinan menurut uu, ini seru bgt!!\n\xe2\x80\x94 trus malemnya lagi dan lagi live class bareng kak dwiki\xf0\x9f\x99\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \n\noverall hari ini seruu! hbu moots?? https://t.co/jny0vaZZ5K'",0,0,1582381422765281282,pawwwsh
2022-10-18 14:33:23,b'serius deh. anjing jenis ini beneran titisan serigala ga si. jangan jangan dulu ada perkawinan silang anjing x serigala',0,0,1582379317832876032,atsiumu
2022-10-18 14:33:20,"b'@elandhary @oyyyraaa @liefderein Yoi... memang bagi umat Katolik perkawinan campur tidak dilarang, tetapi juga tidak disarankan, alasannya adalah karena \n1. Konsep perkawinan Katolik berbda dngn agama lain\n2. Bahaya pemaksaan untuk meningglkan iman\n3. Perbedaan mendasar teologial soal kasih kemanusiaan\n\n:)'",0,0,1582379305690370048,apologiskatolik
2022-10-18 14:14:04,b'Akibat Perkawinan Sedarah: Menjaga Kekuasaan hingga Cacat Genetik https://t.co/EE3QcVatNv',0,0,1582374457007828992,eradotid
2022-10-18 14:05:14,b'@VIVAcoid Apa iya cacatnya karena Perkawinan sedarah ? Nyatanya di Perancis melegalkan perkawinan sedarah ?',0,0,1582372234898726913,tahmidy85
2022-10-18 14:02:36,b'Gimana pakar perkawinan kita @JJHyun1093 https://t.co/go7KNcNm4u',0,0,1582371570806579206,lavieensuh
2022-10-18 13:58:14,"b'RT @historia_id: Soendari Darmobroto amat lantang menyuarakan akses pendidikan perempuan dan keadilan dalam perkawinan. \n\nBagi Soendari, le\xe2\x80\xa6'",0,22,1582370475321458688,EbenHeizer19
2022-10-18 13:57:38,b'RT @nasicampuria: @mftpjo___ Orang orang suka ceramah kalo perkawinan itu solusi dari segala masalah hidup.\n\nPadahal kawin kan bukan solusi\xe2\x80\xa6',0,1,1582370322606538752,megaawkd
2022-10-18 13:57:13,"b'RT @historia_id: Soendari Darmobroto amat lantang menyuarakan akses pendidikan perempuan dan keadilan dalam perkawinan. \n\nBagi Soendari, le\xe2\x80\xa6'",0,22,1582370217346633729,airtadnavon
2022-10-18 13:56:37,"b'RT @historia_id: Soendari Darmobroto amat lantang menyuarakan akses pendidikan perempuan dan keadilan dalam perkawinan. \n\nBagi Soendari, le\xe2\x80\xa6'",0,22,1582370064476798977,winterdblue
2022-10-18 13:38:27,b'RT @littlevixen__: @liefderein \xe2\x80\x9cPerkawinan bisa terjadi karena ada ikatan jodoh masa lampau yang kuat dan dalam. Perkawinan itu peristiwa k\xe2\x80\xa6',0,2,1582365495348850692,junecakeryxx
2022-10-18 13:37:01,b'Mencari Solusi Menekan Angka Perkawinan Anak di Indramayu https://t.co/yLjWqyQ9EI',0,0,1582365134202482690,detik_jabar
2022-10-18 13:29:50,b'RT @logikafilsuf: [Sebuah Utas]\n\nSaat Plato Bertanya Tentang Perkawinan\n\n\xe2\xa4\xb5\xef\xb8\x8f\xe2\xa4\xb5\xef\xb8\x8f https://t.co/P3NQ5BGebh',0,4,1582363324523499520,ILunarLights1
